date,mse
1555947000.0,2.0764106149363997e-05
1555947900.0,2.086125654985706e-05
1555948800.0,1.9624810194931686e-05
1555949700.0,1.9190209103983217e-05
1555950600.0,3.925145767040146e-05
1555951500.0,1.1285156857980633e-05
1555952400.0,1.315723376528857e-05
1555953300.0,9.550350380962535e-06
1555955100.0,3.702749533091247e-06
1555956000.0,6.4768024101167114e-06
1555956900.0,7.495980176723985e-06
1555957800.0,6.259390785239016e-06
1555958700.0,4.096214771633546e-05
1555959600.0,4.5041676480317446e-05
1555960500.0,2.3374904021655173e-05
1555961400.0,3.8926906798616556e-05
1555962300.0,3.515358047969427e-05
